Order_ID,Warehouse,Customer_Location,Delivery_Distance_km,Transportation_Mode,Package_Weight_kg,Delivery_Priority,Weather_Condition,Traffic_Level,Warehouse_Processing_Time_min,Planned_Delivery_Time_hr,Actual_Delivery_Time_hr,Delivery_Delay
ORD10056,WH-West,West Zone,19.1,Truck,4.1,High,Cloudy,Medium,26.1,1.32,1.39,0
ORD10057,WH-West,North Zone,27.4,Van,12.3,Standard,Clear,Medium,33.7,1.34,2.51,1
ORD10058,WH-North,North Zone,61.0,Bike,10.8,Urgent,Cloudy,Low,45.4,2.58,4.28,1
ORD10059,WH-East,South Zone,32.7,Bike,23.3,High,Clear,Medium,34.7,1.81,3.32,1
ORD10060,WH-North,City Center,49.4,Van,24.2,Standard,Clear,High,32.4,2.25,3.78,1
ORD10061,WH-East,West Zone,36.7,Van,5.0,High,Clear,Low,35.7,1.54,1.56,0
ORD10062,WH-East,Suburban,59.9,Bike,11.3,Standard,Clear,Medium,27.8,2.47,4.42,1
ORD10063,WH-North,City Center,19.8,Bike,11.5,High,Cloudy,Medium,30.9,1.18,1.2,0
ORD10064,WH-North,Suburban,6.6,Van,5.0,Standard,Cloudy,Low,10.0,0.6,0.55,0
ORD10065,WH-East,City Center,25.4,Express,24.1,High,Cloudy,Medium,46.7,1.36,2.74,1
ORD10066,WH-South,South Zone,39.0,Van,21.4,Standard,Clear,Medium,38.6,1.9,3.25,1
ORD10067,WH-West,West Zone,15.1,Truck,6.1,Standard,Clear,High,25.7,1.21,2.49,1
ORD10068,WH-North,West Zone,29.7,Express,11.3,Standard,Clear,High,57.8,1.53,2.79,1
ORD10069,WH-West,East Zone,33.2,Truck,3.6,Standard,Clear,Medium,36.0,1.81,3.17,1
ORD10070,WH-South,Suburban,6.5,Bike,19.0,Standard,Rain,Medium,22.6,0.9,0.86,0
ORD10071,WH-South,City Center,47.5,Truck,4.1,Standard,Clear,Medium,45.3,2.37,3.87,1
ORD10072,WH-South,City Center,71.0,Van,29.6,Standard,Clear,Medium,39.8,3.07,5.02,1
ORD10073,WH-North,North Zone,13.8,Express,23.5,Standard,Clear,Medium,39.7,0.76,0.78,0
ORD10074,WH-South,East Zone,48.6,Truck,12.0,Standard,Clear,Low,29.9,2.29,3.76,1
ORD10075,WH-North,North Zone,53.8,Express,17.6,High,Cloudy,Medium,40.4,2.55,3.92,1
ORD10076,WH-South,North Zone,34.7,Van,27.4,Standard,Cloudy,Medium,31.9,1.73,3.19,1
ORD10077,WH-West,North Zone,56.7,Van,16.8,Urgent,Clear,Medium,44.7,2.73,4.33,1
ORD10078,WH-West,Suburban,34.0,Van,5.6,High,Clear,High,12.1,1.82,3.26,1
ORD10079,WH-East,Suburban,41.4,Bike,11.7,High,Clear,Low,29.8,2.05,2.12,0
ORD10080,WH-West,South Zone,2.6,Truck,25.4,Standard,Clear,Medium,55.7,0.72,1.99,1
ORD10081,WH-East,South Zone,56.0,Express,19.5,Urgent,Clear,Low,28.8,2.54,3.58,1
ORD10082,WH-West,North Zone,53.6,Truck,19.7,Standard,Storm,High,27.8,2.12,5.46,1
ORD10083,WH-North,East Zone,5.0,Express,26.1,Standard,Cloudy,Medium,29.6,0.62,0.59,0
ORD10084,WH-West,City Center,30.7,Van,26.9,Standard,Cloudy,Medium,20.4,1.74,1.77,0
ORD10085,WH-East,Suburban,78.4,Express,27.6,High,Clear,Medium,8.5,3.2,4.7,1
ORD10086,WH-East,East Zone,34.8,Bike,3.3,Standard,Clear,Medium,32.2,1.72,1.68,0
ORD10087,WH-South,West Zone,41.2,Bike,16.6,Standard,Cloudy,High,36.6,1.85,3.93,1
ORD10088,WH-North,Suburban,73.0,Bike,22.3,Urgent,Cloudy,Medium,37.4,3.32,5.41,1
ORD10089,WH-West,Suburban,57.9,Bike,22.8,High,Cloudy,Medium,33.3,2.77,4.87,1
ORD10090,WH-South,South Zone,47.4,Bike,18.4,Standard,Clear,High,35.5,2.09,4.12,1
ORD10091,WH-West,City Center,64.2,Van,5.4,Standard,Cloudy,Low,47.3,2.81,4.3,1
ORD10092,WH-West,City Center,69.4,Van,24.0,High,Clear,Low,32.7,2.9,4.36,1
ORD10093,WH-South,West Zone,37.6,Express,21.7,Standard,Rain,Medium,28.1,1.92,3.17,1
ORD10094,WH-South,West Zone,39.1,Bike,3.0,Standard,Cloudy,High,31.6,1.96,3.25,1
ORD10095,WH-South,Suburban,32.1,Bike,14.2,Standard,Cloudy,Medium,42.0,1.74,3.78,1
ORD10096,WH-South,North Zone,77.4,Truck,5.6,Urgent,Clear,Low,54.9,3.3,5.53,1
ORD10097,WH-South,South Zone,56.4,Van,10.5,High,Cloudy,Medium,27.5,2.87,4.6,1
ORD10098,WH-West,South Zone,8.5,Van,1.0,High,Clear,Medium,36.2,0.68,0.67,0
ORD10099,WH-South,Suburban,69.3,Bike,12.3,High,Clear,Low,39.1,2.77,4.5,1
ORD10100,WH-North,East Zone,39.5,Truck,16.7,Standard,Clear,Medium,23.1,1.86,3.25,1
ORD10101,WH-East,North Zone,7.4,Van,18.8,Standard,Cloudy,High,35.2,0.58,1.54,1
ORD10102,WH-South,Suburban,44.9,Truck,20.1,Standard,Clear,Medium,17.4,1.92,3.51,1
ORD10103,WH-South,North Zone,34.5,Van,25.2,Standard,Clear,Medium,13.8,1.61,2.95,1
ORD10104,WH-West,North Zone,70.5,Truck,6.9,Standard,Rain,Medium,39.4,2.91,5.2,1
ORD10105,WH-South,North Zone,17.9,Van,4.1,High,Clear,Low,30.4,1.02,1.02,0
ORD10106,WH-South,Suburban,66.5,Bike,25.6,High,Cloudy,High,37.4,2.94,5.48,1
ORD10107,WH-South,South Zone,45.5,Van,5.1,Urgent,Clear,Medium,37.8,2.06,3.4,1
ORD10108,WH-West,South Zone,6.3,Truck,29.3,Standard,Clear,Medium,23.3,0.7,1.64,1
ORD10109,WH-South,North Zone,77.8,Van,25.4,High,Rain,Medium,34.5,3.39,5.94,1
ORD10110,WH-East,East Zone,42.0,Van,15.3,High,Clear,Medium,20.2,1.91,3.11,1
ORD10111,WH-West,City Center,24.7,Truck,29.5,Standard,Clear,Medium,51.7,1.35,2.91,1
ORD10112,WH-East,Suburban,38.6,Truck,3.4,High,Cloudy,Low,18.7,1.92,1.88,0
ORD10113,WH-West,City Center,68.9,Bike,9.4,Standard,Cloudy,High,32.7,2.73,5.17,1
ORD10114,WH-South,East Zone,25.8,Van,19.3,Standard,Cloudy,High,22.5,1.14,2.68,1
ORD10115,WH-East,Suburban,17.0,Bike,10.8,Standard,Clear,Medium,41.8,1.15,1.17,0
ORD10116,WH-West,North Zone,12.1,Express,27.9,Standard,Clear,High,31.0,0.99,2.62,1
ORD10117,WH-North,South Zone,25.2,Bike,2.4,Standard,Cloudy,Low,28.8,1.65,1.67,0
ORD10118,WH-South,City Center,62.8,Van,16.7,High,Cloudy,Medium,45.2,2.76,4.38,1
ORD10119,WH-West,West Zone,38.8,Truck,17.9,Urgent,Rain,Medium,38.4,1.98,4.36,1
ORD10120,WH-North,West Zone,19.7,Van,19.8,High,Rain,Medium,41.2,1.18,2.54,1
ORD10121,WH-West,East Zone,15.0,Van,8.0,High,Rain,Medium,23.2,1.07,1.14,0
ORD10122,WH-North,North Zone,28.0,Express,11.3,Standard,Clear,Medium,18.1,1.7,1.68,0
ORD10123,WH-South,City Center,75.3,Van,25.4,High,Clear,Low,36.3,2.93,4.97,1
ORD10124,WH-East,North Zone,28.8,Truck,6.3,Standard,Rain,Medium,31.2,1.58,3.14,1
ORD10125,WH-North,City Center,79.1,Bike,24.9,Standard,Clear,Low,42.5,3.58,6.28,1
ORD10126,WH-West,East Zone,39.8,Bike,17.1,Standard,Clear,Medium,34.0,1.96,2.0,0
ORD10127,WH-South,East Zone,16.0,Truck,23.0,Standard,Rain,Low,37.5,1.27,2.56,1
ORD10128,WH-North,West Zone,71.5,Van,21.6,Standard,Rain,Low,15.5,2.98,5.19,1
ORD10129,WH-West,North Zone,37.9,Van,6.6,Standard,Clear,Medium,57.7,1.85,3.44,1
ORD10130,WH-West,Suburban,57.4,Truck,17.3,Standard,Clear,Medium,33.0,2.55,4.41,1
ORD10131,WH-West,West Zone,78.7,Van,26.1,Urgent,Clear,High,46.4,3.04,5.56,1
ORD10132,WH-North,North Zone,5.9,Truck,13.2,Standard,Rain,Medium,25.0,0.57,1.82,1
ORD10133,WH-North,West Zone,9.5,Van,29.0,Standard,Rain,Medium,38.7,0.71,2.13,1
ORD10134,WH-North,Suburban,58.2,Van,13.8,Standard,Clear,High,19.4,2.68,4.67,1
ORD10135,WH-East,South Zone,24.0,Truck,4.7,High,Clear,Medium,40.4,1.46,2.85,1
ORD10136,WH-North,South Zone,16.4,Van,12.0,Standard,Rain,Low,30.7,1.12,1.15,0
ORD10137,WH-North,South Zone,5.1,Truck,28.6,Standard,Clear,Medium,35.4,0.78,0.75,0
ORD10138,WH-North,South Zone,3.7,Bike,9.9,Standard,Cloudy,High,43.4,0.61,1.53,1
ORD10139,WH-East,City Center,62.4,Bike,26.1,Standard,Storm,Medium,20.2,2.87,5.38,1
ORD10140,WH-North,South Zone,12.5,Van,26.5,Standard,Clear,Low,26.8,0.95,0.96,0
ORD10141,WH-West,Suburban,38.5,Van,10.8,Standard,Cloudy,Low,40.5,1.88,2.99,1
ORD10142,WH-North,East Zone,49.3,Van,3.0,Standard,Clear,Low,60.2,2.23,4.18,1
ORD10143,WH-West,East Zone,35.4,Bike,21.9,Standard,Clear,Medium,33.3,1.85,2.92,1
ORD10144,WH-West,City Center,4.1,Bike,9.7,Standard,Rain,Medium,42.1,0.6,1.68,1
ORD10145,WH-West,South Zone,63.1,Van,23.6,High,Clear,Low,33.7,2.87,4.3,1
ORD10146,WH-East,South Zone,2.8,Express,13.6,Standard,Storm,High,58.3,0.5,2.43,1
ORD10147,WH-East,South Zone,61.4,Van,14.8,Standard,Cloudy,High,14.0,2.56,4.66,1
ORD10148,WH-East,West Zone,71.7,Truck,23.4,Standard,Clear,Medium,36.1,3.14,5.5,1
ORD10149,WH-North,North Zone,35.8,Bike,11.8,Urgent,Clear,High,18.5,1.77,3.14,1
ORD10150,WH-West,West Zone,43.8,Express,13.6,Standard,Clear,Low,8.0,2.01,2.06,0
ORD10151,WH-East,North Zone,39.2,Bike,11.6,Standard,Clear,Medium,38.6,2.01,3.02,1
ORD10152,WH-East,South Zone,32.4,Bike,11.3,High,Clear,Medium,36.7,1.58,2.53,1
ORD10153,WH-North,South Zone,71.2,Van,16.0,Standard,Clear,High,31.6,3.02,5.29,1
ORD10154,WH-East,West Zone,71.7,Bike,24.4,Standard,Clear,High,33.7,3.23,5.87,1
ORD10155,WH-North,West Zone,28.2,Van,11.2,Standard,Cloudy,Low,72.2,1.69,1.7,0
ORD10156,WH-South,North Zone,50.0,Express,16.0,High,Cloudy,High,31.9,2.47,4.3,1
ORD10157,WH-East,East Zone,74.3,Truck,20.3,Standard,Cloudy,Low,41.1,3.12,5.26,1
ORD10158,WH-South,North Zone,77.0,Bike,8.4,High,Clear,High,27.2,3.4,5.51,1
ORD10159,WH-North,West Zone,41.7,Truck,8.7,Urgent,Clear,High,41.5,1.88,3.64,1
ORD10160,WH-West,Suburban,37.3,Bike,28.0,Standard,Cloudy,Low,32.1,1.72,1.69,0
ORD10161,WH-East,West Zone,23.7,Truck,21.8,Standard,Clear,Medium,30.1,1.06,1.02,0
ORD10162,WH-North,Suburban,76.8,Bike,17.5,Standard,Clear,Low,56.8,3.44,5.51,1
ORD10163,WH-West,City Center,13.1,Van,19.6,Standard,Rain,Medium,49.1,0.86,2.08,1
ORD10164,WH-West,West Zone,47.2,Van,1.4,Standard,Rain,Medium,36.6,2.17,3.63,1
ORD10165,WH-South,City Center,24.0,Van,18.7,Urgent,Cloudy,Medium,10.3,1.25,1.21,0
ORD10166,WH-North,East Zone,23.8,Van,15.5,High,Clear,High,30.7,1.43,3.27,1
ORD10167,WH-West,North Zone,33.6,Express,16.6,High,Rain,Medium,67.4,1.65,3.87,1
ORD10168,WH-East,Suburban,79.9,Van,11.1,Standard,Cloudy,Medium,32.2,3.2,4.8,1
ORD10169,WH-East,North Zone,6.3,Express,2.9,High,Rain,High,48.2,0.78,2.44,1
ORD10170,WH-South,City Center,47.1,Van,6.2,Urgent,Rain,High,55.3,2.01,4.57,1
ORD10171,WH-West,Suburban,8.4,Van,28.5,High,Rain,Low,37.6,0.7,0.78,0
ORD10172,WH-North,North Zone,14.1,Bike,12.6,Standard,Cloudy,High,24.9,0.75,1.94,1
ORD10173,WH-East,West Zone,36.3,Bike,14.3,High,Clear,Low,8.0,1.63,1.63,0
ORD10174,WH-West,South Zone,41.8,Truck,2.1,Standard,Cloudy,High,43.2,2.01,4.24,1
ORD10175,WH-West,City Center,22.2,Truck,1.6,Standard,Cloudy,Low,25.2,1.06,1.04,0
ORD10176,WH-South,North Zone,26.7,Bike,21.7,Standard,Cloudy,Low,37.1,1.28,1.27,0
ORD10177,WH-East,City Center,8.8,Van,16.4,High,Clear,Medium,20.0,0.81,0.84,0
ORD10178,WH-East,City Center,25.7,Express,15.5,High,Clear,Medium,31.8,1.35,1.41,0
ORD10179,WH-North,Suburban,77.4,Express,7.7,Standard,Rain,Medium,35.4,3.5,6.01,1
ORD10180,WH-East,Suburban,75.7,Bike,22.5,Standard,Cloudy,Low,38.2,3.42,5.61,1
ORD10181,WH-North,South Zone,28.1,Van,5.5,Standard,Rain,Medium,21.6,1.4,2.54,1
ORD10182,WH-East,West Zone,46.5,Bike,6.1,Standard,Rain,High,49.4,2.23,4.83,1
ORD10183,WH-South,City Center,72.9,Van,14.1,Standard,Cloudy,Medium,27.8,3.19,5.43,1
ORD10184,WH-East,North Zone,2.5,Van,8.9,Standard,Cloudy,Low,14.9,0.52,0.49,0
ORD10185,WH-North,East Zone,65.2,Van,7.8,High,Rain,Medium,33.7,2.65,4.7,1
ORD10186,WH-North,City Center,76.0,Truck,19.5,Standard,Cloudy,Low,35.4,3.21,5.13,1
ORD10187,WH-South,City Center,9.1,Express,19.7,Standard,Cloudy,High,36.9,0.8,1.92,1
ORD10188,WH-East,South Zone,14.6,Bike,24.8,Standard,Clear,High,51.3,0.97,1.96,1
ORD10189,WH-East,West Zone,76.9,Bike,12.8,Urgent,Clear,Medium,35.2,3.3,5.25,1
ORD10190,WH-South,East Zone,43.9,Truck,2.7,High,Cloudy,Medium,33.6,1.98,3.7,1
ORD10191,WH-East,Suburban,3.1,Van,8.6,High,Clear,High,21.8,0.5,1.97,1
ORD10192,WH-East,Suburban,22.1,Truck,29.4,Standard,Clear,Medium,44.8,1.3,2.45,1
ORD10193,WH-North,North Zone,37.1,Express,18.1,Standard,Clear,High,37.2,1.87,3.54,1
ORD10194,WH-East,East Zone,56.0,Van,21.4,Standard,Clear,Medium,30.0,2.36,3.58,1
ORD10195,WH-East,Suburban,59.2,Express,0.7,High,Clear,High,12.1,2.73,4.62,1
ORD10196,WH-South,North Zone,79.6,Truck,15.8,Urgent,Clear,Medium,55.3,3.13,5.45,1
ORD10197,WH-South,West Zone,24.4,Truck,1.6,High,Rain,Medium,20.3,1.3,2.77,1
ORD10198,WH-West,North Zone,44.0,Bike,17.3,High,Cloudy,High,27.9,2.04,3.9,1
ORD10199,WH-North,Suburban,43.6,Truck,27.7,High,Clear,Medium,39.3,1.98,3.43,1
ORD10200,WH-East,South Zone,33.6,Express,29.1,Standard,Clear,Medium,20.6,1.63,1.62,0
ORD10201,WH-East,South Zone,15.2,Express,16.4,Urgent,Cloudy,Low,20.1,1.27,1.23,0
ORD10202,WH-West,South Zone,78.2,Truck,14.0,Standard,Clear,Medium,9.5,3.19,5.0,1
ORD10203,WH-East,Suburban,68.6,Van,28.4,Standard,Rain,Medium,43.7,3.24,6.1,1
ORD10204,WH-North,South Zone,40.9,Truck,20.4,Standard,Cloudy,Low,28.5,2.01,3.48,1
ORD10205,WH-West,East Zone,49.1,Express,2.4,Standard,Rain,Low,70.1,2.26,3.71,1
ORD10206,WH-North,West Zone,19.7,Van,14.2,Standard,Clear,Medium,23.1,1.26,1.33,0
ORD10207,WH-West,North Zone,44.4,Bike,7.6,Standard,Cloudy,High,23.9,2.39,4.02,1
ORD10208,WH-West,North Zone,56.2,Bike,14.4,Standard,Clear,Medium,28.2,2.39,3.89,1
ORD10209,WH-South,Suburban,42.2,Bike,13.9,Standard,Rain,Low,37.9,1.87,4.12,1
ORD10210,WH-North,South Zone,79.2,Van,17.7,Standard,Cloudy,Medium,29.4,3.24,5.11,1
ORD10211,WH-East,South Zone,49.7,Bike,11.0,Standard,Clear,Low,42.3,2.28,3.55,1
ORD10212,WH-East,City Center,30.9,Express,5.3,Standard,Clear,Medium,23.3,1.4,1.45,0
ORD10213,WH-North,West Zone,62.2,Van,15.4,Standard,Clear,Low,18.4,2.72,2.79,0
ORD10214,WH-East,East Zone,15.3,Van,25.0,High,Cloudy,Low,13.4,1.25,1.18,0
ORD10215,WH-East,North Zone,32.0,Express,20.1,High,Clear,Low,8.3,1.66,1.64,0
ORD10216,WH-North,City Center,29.1,Van,10.5,High,Cloudy,Medium,28.8,1.5,1.57,0
ORD10217,WH-West,City Center,35.7,Express,28.1,High,Clear,Low,31.4,1.7,1.54,0
ORD10218,WH-North,Suburban,63.0,Truck,27.4,Standard,Cloudy,Medium,27.4,2.86,4.74,1
ORD10219,WH-West,North Zone,39.8,Van,6.7,High,Rain,Medium,49.9,1.82,4.25,1
ORD10220,WH-East,Suburban,63.9,Express,1.7,Standard,Rain,Medium,49.7,3.0,5.22,1
ORD10221,WH-East,East Zone,47.0,Truck,22.4,Standard,Rain,Medium,31.0,2.41,3.96,1
ORD10222,WH-East,City Center,28.7,Truck,24.9,High,Clear,High,13.5,1.56,2.75,1
ORD10223,WH-South,City Center,65.2,Truck,29.1,Standard,Clear,Low,28.2,2.83,4.3,1
ORD10224,WH-West,West Zone,20.6,Truck,26.8,High,Cloudy,Medium,27.8,1.36,1.33,0
ORD10225,WH-South,East Zone,19.5,Van,18.2,High,Clear,Low,27.1,1.33,1.33,0
ORD10226,WH-South,City Center,41.4,Truck,16.1,High,Clear,Low,26.6,1.88,3.06,1
ORD10227,WH-North,East Zone,22.3,Express,1.3,Urgent,Clear,Medium,30.2,1.23,1.18,0
ORD10228,WH-South,North Zone,2.7,Van,7.8,Standard,Clear,Medium,30.4,0.5,0.46,0
ORD10229,WH-North,South Zone,52.6,Bike,14.1,Standard,Clear,High,27.4,2.43,4.98,1
ORD10230,WH-North,City Center,41.9,Van,19.0,Standard,Rain,Medium,37.5,2.08,4.36,1
ORD10231,WH-South,West Zone,36.8,Bike,16.9,Standard,Clear,High,39.3,1.65,4.09,1
ORD10232,WH-West,North Zone,77.4,Van,22.4,High,Cloudy,Low,24.1,3.21,4.54,1
ORD10233,WH-West,East Zone,46.6,Express,8.8,High,Clear,Low,50.3,2.0,3.86,1
ORD10234,WH-West,Suburban,69.3,Truck,17.2,High,Cloudy,Low,23.2,2.87,4.41,1
ORD10235,WH-West,North Zone,12.9,Van,3.1,Standard,Clear,Low,15.6,1.03,1.0,0
ORD10236,WH-West,City Center,46.4,Van,12.7,Standard,Rain,Medium,39.6,2.07,3.88,1
ORD10237,WH-South,East Zone,69.7,Van,22.6,Standard,Rain,Medium,25.2,2.95,5.02,1
ORD10238,WH-South,South Zone,47.5,Truck,21.0,Standard,Clear,Low,38.9,2.0,3.35,1
ORD10239,WH-East,North Zone,58.0,Van,29.7,Urgent,Rain,High,9.2,2.59,4.32,1
ORD10240,WH-West,City Center,31.0,Bike,8.7,Standard,Storm,High,51.7,1.6,4.41,1
ORD10241,WH-South,West Zone,9.2,Truck,15.2,Standard,Rain,Low,43.1,0.74,2.21,1
ORD10242,WH-East,Suburban,37.7,Van,10.2,Standard,Rain,Low,17.0,1.82,2.87,1
ORD10243,WH-West,East Zone,32.8,Bike,13.5,High,Clear,Low,17.3,1.69,1.67,0
ORD10244,WH-North,North Zone,69.6,Bike,25.8,High,Cloudy,Low,55.1,2.89,4.93,1
ORD10245,WH-East,North Zone,21.0,Van,20.7,Standard,Clear,Low,26.2,1.07,1.08,0
ORD10246,WH-South,South Zone,77.4,Van,26.5,Standard,Clear,Medium,25.0,3.48,4.85,1
ORD10247,WH-North,South Zone,76.7,Van,6.5,Standard,Storm,Low,8.0,3.16,5.79,1
ORD10248,WH-North,West Zone,21.3,Bike,26.3,Standard,Clear,Medium,30.8,1.25,1.29,0
ORD10249,WH-North,Suburban,29.1,Bike,2.3,High,Cloudy,High,32.3,1.66,3.31,1
ORD10250,WH-East,West Zone,71.9,Truck,26.7,High,Rain,Medium,43.6,3.49,6.51,1
ORD10251,WH-South,City Center,77.4,Bike,10.2,Standard,Rain,High,18.2,3.11,5.58,1
ORD10252,WH-North,City Center,36.6,Bike,9.8,Standard,Storm,Low,16.8,1.86,3.25,1
ORD10253,WH-West,West Zone,27.0,Truck,15.6,Urgent,Clear,Medium,43.4,1.38,1.41,0
ORD10254,WH-North,Suburban,43.0,Express,28.3,Standard,Clear,Medium,47.1,1.97,3.22,1
ORD10255,WH-North,West Zone,55.6,Van,1.9,High,Clear,Low,16.1,2.4,3.82,1
ORD10256,WH-East,Suburban,23.3,Van,10.9,Standard,Clear,Low,48.0,1.2,1.28,0
ORD10257,WH-East,Suburban,59.4,Van,25.8,Standard,Clear,Medium,35.5,2.62,3.72,1
ORD10258,WH-South,East Zone,6.0,Van,12.2,Standard,Clear,Medium,48.1,0.54,0.58,0
ORD10259,WH-West,Suburban,5.8,Truck,6.4,Standard,Rain,Medium,34.2,0.82,0.8,0
ORD10260,WH-East,South Zone,32.1,Express,13.0,Urgent,Cloudy,Medium,8.0,1.65,1.66,0
ORD10261,WH-North,Suburban,29.6,Van,11.9,Standard,Clear,Medium,33.2,1.61,2.84,1
