Order_ID,Warehouse,Customer_Location,Delivery_Distance_km,Transportation_Mode,Package_Weight_kg,Delivery_Priority,Weather_Condition,Traffic_Level,Warehouse_Processing_Time_min,Planned_Delivery_Time_hr,Actual_Delivery_Time_hr,Delivery_Delay,Delay_Probability,Risk_Level,Recommended_Action
ORD10574,WH-South,North Zone,74.1,Bike,24.3,Standard,Cloudy,Low,15.3,3.21,4.93,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10523,WH-South,West Zone,57.6,Van,16.9,Standard,Rain,Medium,54.0,2.47,4.29,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer | Review warehouse processing bottleneck"
ORD10051,WH-East,Suburban,64.5,Bike,8.1,Standard,Rain,Medium,39.0,2.78,5.56,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10933,WH-North,West Zone,57.3,Bike,9.6,Standard,Rain,Medium,36.9,2.46,4.58,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10071,WH-South,City Center,47.5,Truck,4.1,Standard,Clear,Medium,45.3,2.37,3.87,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10036,WH-North,South Zone,56.7,Truck,19.5,Urgent,Rain,High,54.1,2.42,4.44,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Add weather-related time buffer | Review warehouse processing bottleneck"
ORD10948,WH-West,City Center,72.7,Bike,18.6,Standard,Clear,Medium,38.2,3.12,5.12,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10315,WH-East,West Zone,55.6,Truck,19.9,Standard,Clear,High,33.5,2.5,4.66,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10681,WH-West,South Zone,71.2,Van,11.3,Urgent,Rain,Medium,33.3,2.99,5.82,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10679,WH-South,City Center,64.1,Bike,27.2,Standard,Clear,Medium,49.8,2.87,4.17,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10677,WH-West,West Zone,65.7,Truck,15.6,Standard,Rain,Medium,46.5,2.89,5.17,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer | Review warehouse processing bottleneck"
ORD10675,WH-West,North Zone,79.7,Express,28.0,Standard,Clear,High,62.9,3.24,5.88,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Review warehouse processing bottleneck"
ORD10367,WH-South,North Zone,52.4,Truck,23.9,Standard,Clear,High,48.7,2.53,4.85,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Review warehouse processing bottleneck"
ORD10736,WH-East,West Zone,47.7,Truck,27.1,High,Cloudy,Low,35.8,2.28,3.48,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10496,WH-East,North Zone,54.7,Van,26.0,Standard,Clear,Medium,28.1,2.38,4.07,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10486,WH-South,City Center,65.9,Bike,23.9,Standard,Rain,Medium,53.0,2.93,5.05,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer | Review warehouse processing bottleneck"
ORD10502,WH-North,North Zone,69.0,Van,10.0,High,Cloudy,Medium,43.2,2.76,4.55,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10577,WH-North,City Center,53.2,Truck,28.0,Standard,Clear,Medium,31.8,2.27,3.78,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10722,WH-East,East Zone,54.2,Truck,6.1,Standard,Rain,Medium,43.2,2.37,4.54,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10382,WH-South,South Zone,70.4,Bike,26.7,Standard,Clear,Medium,31.7,3.02,4.7,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10743,WH-South,South Zone,76.3,Truck,9.9,Standard,Cloudy,Low,40.3,3.2,5.17,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10739,WH-North,City Center,38.2,Truck,15.0,Standard,Cloudy,Medium,59.7,1.98,3.73,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10288,WH-North,East Zone,76.4,Truck,1.5,High,Storm,Medium,39.8,3.1,6.05,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10282,WH-West,City Center,67.6,Bike,3.9,Standard,Cloudy,High,36.0,2.83,5.68,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10764,WH-South,City Center,47.7,Truck,12.7,Standard,Rain,Medium,51.0,2.4,4.13,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer | Review warehouse processing bottleneck"
ORD10762,WH-South,City Center,54.0,Truck,27.4,High,Clear,Medium,41.1,2.41,4.12,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10761,WH-West,South Zone,78.8,Express,11.7,High,Cloudy,Medium,30.6,3.3,5.2,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10757,WH-South,South Zone,57.4,Express,6.4,High,Clear,Medium,45.6,2.6,4.24,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10088,WH-North,Suburban,73.0,Bike,22.3,Urgent,Cloudy,Medium,37.4,3.32,5.41,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10113,WH-West,City Center,68.9,Bike,9.4,Standard,Cloudy,High,32.7,2.73,5.17,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10106,WH-South,Suburban,66.5,Bike,25.6,High,Cloudy,High,37.4,2.94,5.48,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10923,WH-North,North Zone,45.0,Express,16.9,Standard,Rain,Medium,34.7,2.15,3.12,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10915,WH-West,City Center,76.0,Bike,11.3,High,Clear,Medium,33.7,3.37,5.13,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10908,WH-East,City Center,46.7,Truck,23.5,High,Clear,Medium,42.0,2.37,3.71,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10904,WH-East,North Zone,66.9,Truck,27.4,Urgent,Storm,Medium,33.6,2.95,6.58,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10903,WH-South,South Zone,68.0,Bike,27.0,Standard,Rain,Medium,36.0,3.06,5.56,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10578,WH-South,South Zone,43.9,Truck,10.7,Urgent,Cloudy,High,54.4,1.86,3.78,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Review warehouse processing bottleneck"
ORD10668,WH-West,City Center,59.1,Bike,29.0,Standard,Clear,Medium,35.3,2.49,4.18,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10663,WH-North,North Zone,74.4,Bike,25.9,Standard,Rain,High,11.6,3.21,6.33,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Add weather-related time buffer"
ORD10652,WH-West,East Zone,78.5,Van,13.1,Standard,Clear,High,40.2,3.19,6.47,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10237,WH-South,East Zone,69.7,Van,22.6,Standard,Rain,Medium,25.2,2.95,5.02,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10236,WH-West,City Center,46.4,Van,12.7,Standard,Rain,Medium,39.6,2.07,3.88,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10230,WH-North,City Center,41.9,Van,19.0,Standard,Rain,Medium,37.5,2.08,4.36,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10884,WH-West,East Zone,69.6,Van,20.1,Standard,Cloudy,High,38.4,2.89,4.99,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10882,WH-South,West Zone,70.1,Van,13.7,Urgent,Rain,High,47.7,3.06,5.98,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Add weather-related time buffer | Review warehouse processing bottleneck"
ORD10125,WH-North,City Center,79.1,Bike,24.9,Standard,Clear,Low,42.5,3.58,6.28,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10475,WH-East,North Zone,61.0,Bike,12.7,High,Rain,Low,44.9,2.89,4.73,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10467,WH-West,Suburban,66.0,Truck,14.8,Standard,Clear,Low,41.4,2.57,4.76,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10588,WH-East,North Zone,79.3,Van,25.9,Standard,Clear,High,27.4,3.41,6.11,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10579,WH-South,South Zone,54.8,Van,5.2,Urgent,Clear,Medium,52.4,2.59,3.82,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10092,WH-West,City Center,69.4,Van,24.0,High,Clear,Low,32.7,2.9,4.36,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10091,WH-West,City Center,64.2,Van,5.4,Standard,Cloudy,Low,47.3,2.81,4.3,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10090,WH-South,South Zone,47.4,Bike,18.4,Standard,Clear,High,35.5,2.09,4.12,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10089,WH-West,Suburban,57.9,Bike,22.8,High,Cloudy,Medium,33.3,2.77,4.87,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10257,WH-East,Suburban,59.4,Van,25.8,Standard,Clear,Medium,35.5,2.62,3.72,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10246,WH-South,South Zone,77.4,Van,26.5,Standard,Clear,Medium,25.0,3.48,4.85,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10397,WH-West,Suburban,75.6,Bike,17.8,High,Cloudy,Low,44.8,2.93,4.86,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10417,WH-North,West Zone,66.1,Bike,2.8,Standard,Rain,Low,66.7,3.1,5.31,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer | Review warehouse processing bottleneck"
ORD10414,WH-North,Suburban,78.0,Truck,12.9,Urgent,Rain,High,56.0,3.08,6.63,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Add weather-related time buffer | Review warehouse processing bottleneck"
ORD10412,WH-West,City Center,58.6,Van,17.0,Standard,Cloudy,Low,45.3,2.63,3.9,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10220,WH-East,Suburban,63.9,Express,1.7,Standard,Rain,Medium,49.7,3.0,5.22,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer | Review warehouse processing bottleneck"
ORD10605,WH-East,South Zone,61.4,Truck,8.8,Standard,Clear,Medium,41.4,2.68,4.66,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10598,WH-East,Suburban,62.9,Van,3.1,Standard,Cloudy,Medium,39.3,2.63,4.02,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10596,WH-West,Suburban,64.3,Van,17.0,High,Rain,Medium,35.6,2.83,4.56,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10481,WH-West,Suburban,47.8,Truck,27.3,Urgent,Rain,Medium,28.9,2.15,4.33,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10894,WH-North,South Zone,75.0,Van,14.9,Standard,Clear,Medium,44.8,3.05,5.23,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10885,WH-West,Suburban,48.3,Express,23.6,Standard,Rain,High,30.9,2.35,4.32,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Add weather-related time buffer"
ORD10774,WH-West,Suburban,71.6,Van,19.3,Standard,Clear,High,26.8,2.85,5.17,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10772,WH-North,City Center,54.5,Truck,19.7,Urgent,Cloudy,Low,42.0,2.49,4.08,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10640,WH-West,South Zone,64.0,Van,8.9,Standard,Cloudy,Medium,37.2,2.95,5.15,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10638,WH-East,City Center,73.4,Bike,9.8,Standard,Cloudy,Low,35.7,3.21,5.24,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10633,WH-North,City Center,79.9,Van,25.6,Urgent,Clear,Medium,33.2,3.53,5.15,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10433,WH-North,South Zone,74.4,Truck,6.1,Standard,Clear,Medium,55.5,3.24,5.21,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10203,WH-East,Suburban,68.6,Van,28.4,Standard,Rain,Medium,43.7,3.24,6.1,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10196,WH-South,North Zone,79.6,Truck,15.8,Urgent,Clear,Medium,55.3,3.13,5.45,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10800,WH-East,East Zone,50.6,Express,11.1,High,Rain,Medium,33.5,2.64,4.72,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10797,WH-North,West Zone,63.6,Truck,13.7,High,Storm,Medium,41.1,2.59,5.77,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10789,WH-West,Suburban,77.3,Bike,17.2,High,Clear,High,27.5,3.27,5.66,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10153,WH-North,South Zone,71.2,Van,16.0,Standard,Clear,High,31.6,3.02,5.29,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10875,WH-South,City Center,50.6,Van,20.2,Standard,Cloudy,Medium,55.3,2.52,4.13,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10873,WH-South,City Center,58.2,Van,11.8,High,Cloudy,Medium,36.7,2.44,4.0,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10866,WH-North,North Zone,68.6,Truck,24.6,Standard,Clear,Medium,40.9,2.86,4.78,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10139,WH-East,City Center,62.4,Bike,26.1,Standard,Storm,Medium,20.2,2.87,5.38,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10131,WH-West,West Zone,78.7,Van,26.1,Urgent,Clear,High,46.4,3.04,5.56,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Review warehouse processing bottleneck"
ORD10804,WH-North,North Zone,65.3,Bike,28.7,High,Clear,Medium,24.2,3.01,4.27,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10427,WH-North,South Zone,66.5,Truck,22.3,Standard,Clear,High,45.4,3.07,5.88,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Review warehouse processing bottleneck"
ORD10423,WH-South,East Zone,73.1,Bike,11.4,Standard,Cloudy,High,37.2,3.14,5.55,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10421,WH-South,West Zone,52.7,Van,27.6,Urgent,Clear,Medium,33.6,2.3,3.34,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10418,WH-South,East Zone,52.4,Express,26.5,Standard,Storm,High,42.2,2.45,5.31,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Add weather-related time buffer"
ORD10438,WH-West,North Zone,77.9,Van,25.7,Standard,Cloudy,Medium,51.0,3.26,5.71,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10832,WH-North,North Zone,74.7,Truck,14.4,Standard,Clear,Medium,8.0,3.32,4.96,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10827,WH-East,East Zone,76.9,Truck,28.1,High,Clear,Medium,41.4,3.2,5.05,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10848,WH-South,East Zone,49.8,Van,23.1,High,Clear,Medium,50.9,2.38,3.75,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10847,WH-South,West Zone,70.0,Express,25.0,Standard,Rain,High,39.8,3.03,5.89,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Add weather-related time buffer"
ORD10158,WH-South,North Zone,77.0,Bike,8.4,High,Clear,High,27.2,3.4,5.51,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10157,WH-East,East Zone,74.3,Truck,20.3,Standard,Cloudy,Low,41.1,3.12,5.26,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10820,WH-North,Suburban,76.3,Express,13.4,Standard,Rain,Medium,19.8,3.22,4.7,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10186,WH-North,City Center,76.0,Truck,19.5,Standard,Cloudy,Low,35.4,3.21,5.13,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10618,WH-West,East Zone,58.1,Express,5.4,Standard,Cloudy,High,31.0,2.87,4.92,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10460,WH-East,City Center,67.4,Bike,22.0,Standard,Clear,Medium,37.8,2.89,4.66,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10457,WH-South,West Zone,66.1,Truck,7.8,Standard,Clear,Medium,37.8,2.76,4.9,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10456,WH-East,East Zone,54.3,Bike,23.0,Standard,Clear,Low,36.0,2.43,3.89,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10452,WH-South,South Zone,71.5,Bike,16.3,Standard,Clear,Low,24.5,3.2,4.68,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10038,WH-North,City Center,74.5,Bike,28.2,Standard,Clear,Medium,29.0,3.09,4.6,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10037,WH-West,South Zone,61.7,Van,23.6,High,Storm,Medium,39.3,2.63,5.27,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10537,WH-West,Suburban,55.3,Truck,20.5,Standard,Rain,Medium,54.1,2.43,4.97,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer | Review warehouse processing bottleneck"
ORD10534,WH-North,City Center,52.4,Bike,2.6,Standard,Clear,High,31.8,2.41,4.74,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10532,WH-West,East Zone,73.1,Truck,10.9,Standard,Clear,Low,19.2,3.18,4.47,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10718,WH-West,West Zone,66.7,Bike,10.5,Standard,Rain,Low,17.0,3.12,4.77,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10060,WH-North,City Center,49.4,Van,24.2,Standard,Clear,High,32.4,2.25,3.78,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10558,WH-South,North Zone,75.8,Truck,24.8,Standard,Cloudy,High,30.7,3.03,5.78,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10554,WH-West,North Zone,72.7,Bike,27.1,Standard,Storm,Medium,33.2,3.13,6.32,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10551,WH-North,Suburban,71.9,Bike,27.9,Standard,Cloudy,High,26.9,3.06,5.59,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10549,WH-South,North Zone,73.4,Truck,14.1,High,Rain,Medium,48.0,3.14,5.96,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer | Review warehouse processing bottleneck"
ORD10962,WH-North,North Zone,79.2,Bike,2.4,Standard,Clear,Medium,40.1,3.23,5.46,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10968,WH-South,East Zone,80.0,Truck,26.4,Standard,Rain,Medium,37.4,3.35,5.95,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10969,WH-South,West Zone,64.6,Express,12.6,High,Rain,High,43.2,2.84,5.39,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Add weather-related time buffer"
ORD10010,WH-South,West Zone,78.8,Bike,14.9,Urgent,Clear,Medium,39.0,3.27,5.34,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10016,WH-North,South Zone,46.1,Express,19.0,Standard,Clear,High,34.5,2.33,3.58,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10514,WH-South,West Zone,60.3,Bike,4.3,Standard,Clear,Medium,40.4,2.41,4.0,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10721,WH-South,East Zone,69.6,Truck,6.2,Standard,Clear,Medium,28.8,3.11,4.7,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10058,WH-North,North Zone,61.0,Bike,10.8,Urgent,Cloudy,Low,45.4,2.58,4.28,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10713,WH-North,South Zone,65.4,Van,17.6,Standard,Cloudy,Medium,10.1,2.99,4.94,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10946,WH-East,City Center,58.4,Truck,6.4,High,Clear,Medium,31.9,2.68,3.89,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10530,WH-South,Suburban,61.2,Express,1.0,Standard,Cloudy,Medium,36.6,2.66,4.59,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10539,WH-North,South Zone,60.9,Truck,17.1,Urgent,Clear,Medium,49.6,2.71,3.78,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10988,WH-West,South Zone,70.3,Van,8.3,Standard,Rain,High,40.3,3.06,5.98,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Add weather-related time buffer"
ORD10982,WH-West,West Zone,74.8,Bike,19.0,High,Clear,Low,34.5,3.08,5.18,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10818,WH-East,East Zone,68.3,Truck,12.7,High,Cloudy,Medium,36.5,2.78,5.33,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10185,WH-North,East Zone,65.2,Van,7.8,High,Rain,Medium,33.7,2.65,4.7,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10616,WH-East,North Zone,58.2,Bike,26.2,Standard,Rain,Medium,18.9,2.66,4.57,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10621,WH-West,West Zone,50.9,Bike,22.2,Standard,Rain,Low,33.1,2.36,3.99,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10461,WH-South,East Zone,70.4,Express,6.4,Standard,Cloudy,High,21.4,3.03,5.12,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10189,WH-East,West Zone,76.9,Bike,12.8,Urgent,Clear,Medium,35.2,3.3,5.25,1,0.995,High Risk,"Priority intervention: review route, ETA and dispatch resources"
